dhcp_fingerprint_id,device_id,satori_name,device_type,device_vendor,dhcp_option55
54841,91,2Wire Residential Gateway,Router,"2Wire, Inc.","1,2,3,6,15,88,42,44,46,47"
714,181,3Com IP Phone,VoIP Phone,3Com,"1,3,6,15,35,66,58,59,120,184,26"
32951,29763,Adobe Flash Player,Miscellaneous,Adobe,43
104,5510,Alcatel 4037 Advanced Reflex IP Phone,VoIP Phone,Alcatel-Lucent,"1,28,54,58,59,60,43,3"
104,5510,Alcatel 4037 Advanced Reflex IP Phone,VoIP Phone,Alcatel-Lucent,"1,28,54,58,59,60,43,3"
2287,5510,Alcatel IP Touch 8 Series Phones,VoIP Phone,Alcatel-Lucent,"1,3,28,43,58,59"
2287,5510,Alcatel IP Touch 8 Series Phones,VoIP Phone,Alcatel-Lucent,"1,3,28,43,58,59"
450,9417,Amazon Fire OS 3.0,eBook Reader,Amazon,"1,33,3,6,15,28,51,58,59"
450,9417,Amazon Fire OS 3.0,eBook Reader,Amazon,"1,33,3,6,15,28,51,58,59"
467,9417,Amazon Fire OS 4.5.5,tablet,Amazon,"1,33,3,6,15,26,28,51,58,59"
467,9417,Amazon Fire OS 5.2.x,Smart TV,Amazon,"1,33,3,6,15,26,28,51,58,59"
450,9417,Amazon Fire OS 5.6.x,Tablet,Amazon,"1,33,3,6,15,28,51,58,59"
450,9417,Amazon Fire OS 5.6.x,Tablet,Amazon,"1,33,3,6,15,28,51,58,59"
467,9417,Amazon Fire OS 5.6.x,Tablet,Amazon,"1,33,3,6,15,26,28,51,58,59"
6320,30006,Amcrest IP3M-943 Camera,IP Network Camera,Amcrest,"1,3,4,5,6,12,15,28,42"
6320,30006,Amcrest IP3M-943 Camera,IP Network Camera,Amcrest,"1,3,4,5,6,12,15,28,42"
45444,142,Amino AmiNET110,IPTV,Amino Technologies,"1,2,3,6,12,15,17,23,28,29,31,33,40,41,42,43"
301,142,Amino AmiNET110,IPTV,Amino Technologies,"1,3,6,12,15,17,23,28,29,31,33,40,41,42,43"
45444,142,Amino AmiNET110,IPTV,Amino Technologies,"1,2,3,6,12,15,17,23,28,29,31,33,40,41,42,43"
7521,243,Anaconda,,,"1,3,6,15,28,12,7,9,42,48,49,26"
426,202,Android 0.9,Smartphone,,"1,3,6,28"
426,202,Android 0.9,Smartphone,,"1,3,6,28"
448,202,Android 1.0,Smartphone,,"1,3,6,28,33,51,58,59,121"
