id,value,created_at,updated_at,organization
2,311,2015-06-17 12:40:17,2016-06-02 20:44:33,Microsoft
3,11,2015-10-23 13:05:05,2016-06-02 20:44:31,Hewlett-Packard
4,343,2015-12-11 14:01:50,2016-06-02 20:44:33,Intel Corporation
5,43793,2016-01-13 23:04:22,2016-06-02 20:48:36,Tom Gundersen (systemd)
6,40712,2016-03-07 10:39:06,2016-06-02 20:48:23,DHCPCD Project
7,50922757,2016-03-25 21:42:50,2016-03-25 21:42:50,
8,32804,2016-05-14 05:16:15,2016-06-02 20:47:42,Unify Software and Solutions GmbH & Co.
9,0,2016-06-02 20:44:31,2016-06-02 20:44:31,Reserved
10,1,2016-06-02 20:44:31,2016-06-02 20:44:31,NxNetworks
11,2,2016-06-02 20:44:31,2018-12-25 23:39:48,IBM (https://w3.ibm.com/standards )
12,3,2016-06-02 20:44:31,2016-06-02 20:44:31,Carnegie Mellon
13,4,2016-06-02 20:44:31,2016-06-02 20:44:31,Unix
14,5,2016-06-02 20:44:31,2016-06-02 20:44:31,ACC
15,6,2016-06-02 20:44:31,2016-06-02 20:44:31,TWG
16,7,2016-06-02 20:44:31,2016-06-02 20:44:31,CAYMAN
17,8,2016-06-02 20:44:31,2016-06-02 20:44:31,PSI
18,9,2016-06-02 20:44:31,2016-06-02 20:44:31,ciscoSystems
19,10,2016-06-02 20:44:31,2016-06-02 20:44:31,NSC
20,12,2016-06-02 20:44:31,2016-06-02 20:44:31,Epilogue
21,13,2016-06-02 20:44:31,2016-06-02 20:44:31,U of Tennessee
22,14,2016-06-02 20:44:31,2016-06-02 20:44:31,BBN Technologies
23,15,2016-06-02 20:44:31,2016-06-02 20:44:31,"Xylogics, Inc."
24,16,2016-06-02 20:44:31,2016-06-02 20:44:31,Timeplex
25,17,2016-06-02 20:44:31,2016-06-02 20:44:31,Canstar
26,18,2016-06-02 20:44:31,2016-06-02 20:44:31,Wellfleet
27,19,2016-06-02 20:44:31,2016-06-02 20:44:31,TRW
28,20,2016-06-02 20:44:31,2016-06-02 20:44:31,MIT
29,21,2016-06-02 20:44:31,2016-06-02 20:44:31,EON
30,22,2016-06-02 20:44:31,2016-06-02 20:44:31,Fibronics
31,23,2016-06-02 20:44:31,2016-06-02 20:44:31,Novell
32,24,2016-06-02 20:44:31,2016-06-02 20:44:31,Spider Systems
33,25,2016-06-02 20:44:31,2016-06-02 20:44:31,NSFNET
34,26,2016-06-02 20:44:31,2016-06-02 20:44:31,Hughes LAN Systems
35,27,2016-06-02 20:44:31,2016-06-02 20:44:31,Intergraph
36,28,2016-06-02 20:44:31,2016-06-02 20:44:31,Interlan
37,29,2016-06-02 20:44:31,2016-06-02 20:44:31,Vitalink Communications
38,30,2016-06-02 20:44:31,2016-06-02 20:44:31,Ulana
39,31,2016-06-02 20:44:31,2016-06-02 20:44:31,NSWC
40,32,2016-06-02 20:44:31,2016-06-02 20:44:31,Santa Cruz Operation
41,33,2016-06-02 20:44:31,2016-06-02 20:44:31,"MRV Communications, In-Reach Product Division"
42,34,2016-06-02 20:44:31,2016-06-02 20:44:31,Cray
43,35,2016-06-02 20:44:31,2016-06-02 20:44:31,Nortel Networks
44,36,2016-06-02 20:44:31,2016-06-02 20:44:31,DEC
