id,value,created_at,updated_at
2,"24,23,17,39",2015-06-17 12:40:17,2015-06-17 12:40:17
3,23,2015-06-17 14:00:20,2015-06-17 14:00:20
4,"23,24,31",2015-07-02 01:01:35,2015-07-02 01:01:35
6,"13,12,23,24,39,7",2015-07-04 16:01:40,2015-07-04 16:01:40
7,"24,23,17",2015-07-20 12:40:43,2015-07-20 12:40:43
8,"23,24",2015-07-25 10:35:01,2015-07-25 10:35:01
9,"23,24,52",2015-10-22 19:24:50,2015-10-22 19:24:50
10,"23,24,23,24,1",2015-10-23 13:00:31,2015-10-23 13:00:31
11,"23,39",2015-10-23 13:05:05,2015-10-23 13:05:05
13,"23,39,24",2015-11-23 19:55:40,2015-11-23 19:55:40
15,"17,23,24,39",2015-11-25 05:44:35,2015-11-25 05:44:35
17,"2,3,21,22,23,24",2015-11-25 22:02:53,2015-11-25 22:02:53
18,"7,12,23,24,27,29",2015-11-30 16:21:20,2015-11-30 16:21:20
19,"13,12,23,24,7",2015-11-30 16:21:29,2015-11-30 16:21:29
20,"23,31",2015-12-03 16:37:29,2015-12-03 16:37:29
21,"59,60",2015-12-11 14:01:50,2015-12-11 14:01:50
22,"23,31,24",2015-12-15 19:16:23,2015-12-15 19:16:23
23,"23,24,23,24,1,2",2015-12-21 08:41:12,2015-12-21 08:41:12
24,"23,24,56,31",2016-01-13 23:04:22,2016-01-13 23:04:22
25,"23,24,24",2016-01-23 14:03:24,2016-01-23 14:03:24
26,"32,23,24,31,22,21",2016-01-26 10:46:18,2016-01-26 10:46:18
27,"21,22,23,24,31,41,42",2016-01-26 10:47:04,2016-01-26 10:47:04
29,"23,24,39",2016-02-08 16:50:41,2016-02-08 16:50:41
31,"23,24,31,39,82,83",2016-03-07 10:39:06,2016-03-07 10:39:06
32,"23,24,31,64",2016-03-25 21:42:50,2016-03-25 21:42:50
33,"24,39,23,31",2016-03-29 19:27:57,2016-03-29 19:27:57
34,12,2016-04-04 18:17:06,2016-04-04 18:17:06
35,"24,23",2016-04-06 10:18:02,2016-04-06 10:18:02
36,"13,7",2016-04-09 08:47:55,2016-04-09 08:47:55
37,"23,24,56",2016-04-21 07:01:28,2016-04-21 07:01:28
38,"152,23,17,39",2016-04-25 13:21:32,2016-04-25 13:21:32
39,39,2016-04-26 09:41:25,2016-04-26 09:41:25
40,"23,24,17",2016-04-26 15:35:08,2016-04-26 15:35:08
41,"32792,23,17,39",2016-04-26 19:20:38,2016-04-26 19:20:38
42,"23,31,22,21,39",2016-04-28 08:08:37,2016-04-28 08:08:37
43,"23,24,31,22,21,39",2016-04-28 08:08:48,2016-04-28 08:08:48
44,"17,23,24",2016-05-04 01:07:29,2016-05-04 01:07:29
45,"23,24,31,17,21,22,39",2016-05-14 05:16:15,2016-05-14 05:16:15
46,"23,24,39,31",2016-05-31 18:12:29,2016-05-31 18:12:29
47,"252,3,42,15,6,1,12",2016-06-01 05:50:31,2016-06-01 05:50:31
48,"17,32791,24,39",2016-06-15 14:56:46,2016-06-15 14:56:46
49,"23,24,82,83",2016-06-23 19:01:54,2016-06-23 19:01:54
56,"23,24,22",2016-07-20 06:30:25,2016-07-20 06:30:25
57,"8,256,32804,51617",2016-08-09 06:43:41,2016-08-09 06:43:41
