author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
,,,,,2023-07-02,Amazon Device,,,https://aws.amazon.com/,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""amazon.pool.ntp.org""}]"
,,,,,2023-07-02,Amazon Kindle,,,https://aws.amazon.com/,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""dns.kindle.com""}]"
,,,,,2023-07-02,Adafruit Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""adafruit.pool.ntp.org""}]"
,,,,,2023-07-02,Android Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""android.pool.ntp.org""}]"
,,,,,2023-07-02,Almalinux Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""almalinux.pool.ntp.org""}]"
,,,,,2023-07-01,Apple Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""time.apple.com""}]"
,,,,,2023-07-02,CentOS Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""centos.pool.ntp.org""}]"
,,,,,2023-07-02,Clearlinux Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""clearlinux.pool.ntp.org""}]"
,,,,,2023-07-02,Container Linux Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""coreos.pool.ntp.org""}]"
,,,,,2023-07-02,Debian Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""appstream.debian.org""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""deb.debian.org""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""debian.pool.ntp.org""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""packages.debian.org""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""security.debian.org""}]"
,,,,,2023-07-02,DragonFlyBSD Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""dragonfly.pool.ntp.org""}]"
,,,,,2023-07-02,DragonMint Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""dragonmint.pool.ntp.org""}]"
,,,,,2023-07-02,Fedora Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""fedora.pool.ntp.org""}]"
,,,,,2023-07-02,FreeBSD Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""freebsd.pool.ntp.org""}]"
,,,,,2023-07-02,FreeWRT Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""freewrt.pool.ntp.org""}]"
,,,,,2023-07-02,Gentoo Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""gentoo.pool.ntp.org""}]"
,,,,,2023-07-02,Hikau Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""hikau.pool.ntp.org""}]"
,,,,,2023-07-02,IPFire Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""ipfire.pool.ntp.org""}]"
,,,,,2023-07-02,Linksys Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""linksys.pool.ntp.org""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""linksys-media.pool.ntp.org""}]"
,,,,,2023-07-02,Manjaro Linux Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""manjaro.pool.ntp.org""}]"
,,,,,2023-07-02,Monowall Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""m0n0wall.pool.ntp.org""}]"
,,,,,2023-07-02,NetBSD Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""netbsd.pool.ntp.org""}]"
,,,,,2023-07-02,NixOS Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""nixos.pool.ntp.org""}]"
,,,,,2023-07-02,Novell Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""novell.pool.ntp.org""}]"
,,,,,2023-07-02,OmniOS Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""omnios.pool.ntp.org""}]"
,,,,,2023-07-02,OpenMandriva Lx Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""openmandriva.pool.ntp.org""}]"
,,,,,2023-07-02,OpenSUSE Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""opensuse.pool.ntp.org""}]"
,,,,,2023-07-02,Open WRT Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""openwrt.pool.ntp.org""}]"
,,,,,2023-07-01,OPNsense Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""opnsense.pool.ntp.org""}]"
,,,,,2023-07-02,PFSense Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""pfsense.pool.ntp.org""}]"
,,,,,2023-07-02,RHEL Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""rhel.pool.ntp.org""}]"
,,,,,2023-07-02,Rocky Linux Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""rocky.pool.ntp.org""}]"
,,,,,2023-07-02,Roku Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""roku.pool.ntp.org""}]"
,,,,,2023-07-02,Sailfish OS Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""sailfishos.pool.ntp.org""}]"
,,,,,2023-07-02,Schneider Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""schneider.pool.ntp.org""}]"
,,,,,2023-07-02,Siemens Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""siemens.pool.ntp.org""}]"
