author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
,,,,,2023-07-08,Android Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,3,0,unset,0,0,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,3,0,unset,0,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,3,4,unset,0,current,1""}]"
,,,,,2023-07-08,Apple IOS Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,0,unset,0,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,3,4,unset,0,current,1""}]"
,,,,,2023-07-08,Cisco AP,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""ntp"": ""client;123,0,4,4,set,current,current""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,5,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,7,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,8,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,9,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,random,current,0""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""ntp"": ""client;123,3,4,4,set,0,current""}]"
,,,,,2023-07-04,Cisco Prime Server,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,random,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,current,random,0""}]"
,,,,,2023-07-04,Cisco Router,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,6,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,7,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,8,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,9,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,random,current,0""}]"
,,,,,2023-07-08,Cohesity Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,current,random,0""}]"
,,,,,2023-07-08,Debian Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,0,unset,0,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,10,unset,0,random,0""}]"
,,,,,2023-07-04,Dell Management Server,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,random,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,current,random,0""}]"
,,,,,2023-07-08,Echelon Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,1,0,unset,0,0,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,0,unset,0,current,0""}]"
,,,,,2023-07-08,F5/BigIP Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,7,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,9,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,current,random,0""}]"
,,,,,2023-07-08,GigaVUE-OS,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,3,10,set,random,current,0""}]"
,,,,,2023-07-08,HP Printer,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,3,0,unset,0,0,0""}]"
,,,,,2023-07-05,IOS Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,0,unset,0,random,0""}]"
,,,,,2023-07-08,Lexmark Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,10,unset,0,random,0""}]"
,,,,,2023-07-08,Mac OS X Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,0,unset,0,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,3,0,unset,0,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,0,unset,0,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,3,4,8,unset,0,current,0""}]"
,,,,,2023-07-08,Nutanix Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,current,current,0""}]"
,,,,,2023-07-08,PurpleAir Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,0,unset,0,0,0""}]"
,,,,,2023-12-18,RHEL Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,6,unset,0,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,7,unset,0,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,8,unset,0,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,9,unset,0,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,10,unset,0,random,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,3,4,4,unset,0,current,1""}]"
,,,,,2023-07-08,Ruckus Bridge,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,3,4,unset,0,current,1""}]"
,,,,,2023-07-04,Ubuntu Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,4,0,unset,0,current,0""}]"
,,,,,2023-07-08,Vertiv Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,0,4,10,set,current,current,0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;123,3,4,4,unset,0,current,1""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ntp"": ""client;1025,0,3,4,unset,0,current,1""}]"
