author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
,,,,,2023-05-19,Amazon Load Balancer,,,https://aws.amazon.com/elasticloadbalancing/,,"[{""weight"": ""7"", ""matchtype"": ""exact"", ""webserver"": ""awselb/2.0""}]"
xnih13@gmail.com,,,,,2020-04-23,Amazon Web Serve or ECS,Linux,Amazon,https://aws.amazon.com/ecs/,Amazon,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""ECS""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Amazon""}]"
xnih13@gmail.com,,,,,2020-12-11,Apache,,Apache,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Apache""}]"
xnih13@gmail.com,,,,,2020-12-12,Apache 2.4,,Apache,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Apache/2.4""}]"
xnih13@gmail.com,,Load Balancer,www.f5.com,F5,2019-02-16,Big-IP Load Balancer,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""BigIP""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""BIGS""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""BIM""}]"
xnih13@gmail.com,MFC 7820N,Printer,http://www.brother.com,"Brother Industries, Ltd.",2009-02-15,Brother Printer,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""Debut/0.07""}]"
xnih13@gmail.com,,Printer,www.canon.com,Canon,2023-12-12,Canon Image Runner,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""webserver"": ""CANON HTTP Server""}]"
xnih13@gmail.com,,Printer,www.canon.com,Canon,2020-12-12,Canon Printer,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""CANON""}, {""weight"": ""10"", ""matchtype"": ""exact"", ""webserver"": ""CANON HTTP Server""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""JC-HTTPD""}]"
xnih13@gmail.com,,,,,2018-12-22,CentOS,Linux,CentOS,http://www.centos.org,Fedora,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""CentOS""}]"
xnih13@gmail.com,,,,,2020-12-11,CommVault,,CommVault,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Commvault WebServer""}]"
xnih13@gmail.com,,,,,2020-12-11,Crestron,,Crestron,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Crestron Webserver""}]"
xnih13@gmail.com,,,,,2018-12-22,Debian,Linux,Debian,http://www.debian.org,Debian,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Debian""}]"
xnih13@gmail.com,,Printer,https://usa.kyoceradocumentsolutions.com/,Dell,2020-12-12,Dell Printer,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Dell""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""EWS-NIC5/""}]"
xnih13@gmail.com,,Printer,www.efi.com,EFI,2019-02-16,EFI Printer,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""gSOAP/2.7""}]"
xnih13@gmail.com,,Proxy,,,2019-02-16,EZProxy,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""ECAcc""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""EZproxy""}]"
xnih13@gmail.com,,,,,2018-12-22,Fedora,Linux,Fedora,http://fedoraproject.org,Fedora,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Fedora""}]"
xnih13@gmail.com,,,,,2018-12-22,FreeBSD,FreeBSD,FreeBSD,http://www.freebsd.org,FreeBSD,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""FreeBSD""}]"
xnih13@gmail.com,,Printer,,Generic,2020-04-23,Generic Printer,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""EWS-NIC5/16.16""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""EWS-NIC5/19.83""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""EWS-NIC5/90.65""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""EWS-NIC5/90.66""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""debut/1.""}]"
xnih13@gmail.com,,,,,2018-12-22,Gentoo,Linux,Gentoo,http://www.gentoo.org,Gentoo,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Gentoo""}]"
,,,,,2023-05-19,GStreamer,,,https://gstreamer.freedesktop.org/,,"[{""weight"": ""7"", ""matchtype"": ""exact"", ""webserver"": ""GStreamer RTSP server""}]"
xnih13@gmail.com,,Printer,http://www.hp.com,Hewlett-Packard,2020-12-12,HP JetDirect,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""HP-ChaiServer/3.0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""gSOAP/2.7""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""Mrvl-R2_0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""Virata-EmWeb/R6_2_1""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""Mrvl-R1_0""}]"
xnih13@gmail.com,,Printer,http://www.hp.com,Hewlett-Packard,2023-07-09,HP LaserJet,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""HP_Compact_Server""}]"
xnih13@gmail.com,,Printer,https://usa.kyoceradocumentsolutions.com/,Kyocera,2020-04-23,Kyocera Printer,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""Kyocera""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""EWS-NIC5/90.66""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""EWS-NIC5/90.65""}]"
xnih13@gmail.com,,Printer,,,2023-05-19,Lexmark Printer,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webserver"": ""thttpd""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""webserver"": ""Lexmark_Web_Server""}]"
