author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
,,,,,2024-01-06,Boomi,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-JSCH-0.1.53""}]"
,,,,,2024-01-11,Cisco Call Manager,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-JSCH-0.1.54""}]"
,,,,,2024-05-27,Cisco DNA Center?,,,,,"[{""weight"": ""10"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-XDE_PAL_3.4.2""}]"
,,,,,2024-01-06,Cisco Prime?,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-XDE_PAL_3.4.8""}]"
,,,,,2024-01-11,Cisco Router,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-Cisco-1.25""}, {""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-1.99-Cisco-1.25""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-Cisco-2.0""}]"
,,,,,2024-01-11,Cyberduck 8.6.x,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-Cyberduck/8.6.""}]"
,,,,,2024-01-06,FlowSsh,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""ssh"": ""FlowSsh""}]"
,,,,,2024-01-06,FlowSsh 8.35,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-8.35 FlowSsh""}]"
,,,,,2024-01-06,FreeBSD,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_8.6-hpn14v15 FreeBSD-openssh-portable-8.6.p1,1""}]"
,,,,,2024-01-06,Go,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-Go""}]"
,,,,,2024-01-06,libssh,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""ssh"": ""libssh""}]"
,,,,,2024-01-06,libssh 0.3.4,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh_0.3.4""}]"
,,,,,2024-01-06,libssh 0.3.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-libssh_0.3.""}]"
,,,,,2024-01-06,libssh 0.4.8,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh_0.4.8""}]"
,,,,,2024-01-06,libssh 0.4.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-libssh_0.4.""}]"
,,,,,2024-01-06,libssh 0.5.5,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh_0.5.5""}]"
,,,,,2024-01-06,libssh 0.5.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-libssh_0.5.""}]"
,,,,,2024-01-06,libssh 0.6.0,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh_0.6.0""}]"
,,,,,2024-01-06,libssh 0.6.3,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh_0.6.3""}]"
,,,,,2024-01-06,libssh 0.6.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-libssh_0.6.""}]"
,,,,,2024-01-06,libssh 0.7.7,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh_0.7.7""}]"
,,,,,2024-01-06,libssh 0.7.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-libssh_0.7.""}]"
,,,,,2024-01-06,libssh 0.9.3,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh_0.9.6""}]"
,,,,,2024-01-06,libssh 0.9.6,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh_0.9.6""}]"
,,,,,2024-01-06,libssh 0.9.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-libssh_0.9.""}]"
,,,,,2024-01-06,libssh2 1.10.0,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh2_1.10.0""}]"
,,,,,2024-01-06,libssh2 1.10.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-libssh2_1.10.""}]"
,,,,,2024-01-06,libssh2 1.11.0,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-libssh2_1.11.0""}]"
,,,,,2024-01-06,libssh2 1.11.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-libssh2_1.11.""}]"
,,,,tenable,2024-01-11,Nessus,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-${jndi:ldap://log4shell-ssh-DKyXZXqRY3m7c6v1EWC9${lower:ten}.w.nessus.org/nessus}""}]"
