author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
netresec.com,,,,,2018-11-06,1763 MicroLogix 1100 PLC,ICS device,1763 MicroLogix 1100 PLC,https://ab.rockwellautomation.com/Programmable-Controllers/MicroLogix-1100,Allen-Bradley,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""SA"", ""tcpsig"": ""2048:128:0:48:M16384,N,N,S:.""}]"
netresec.com,,,,,2018-11-06,ABB 800xA PLC,ABB PLC,ABB 800xA,https://new.abb.com/control-systems/system-800xa,ABB,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""SA"", ""tcpsig"": ""8192:64:1:48:M1460,N,W0:.""}]"
netresec.com,,,,,2018-11-06,Advantech ADAM-5000 PLC,Advantech PLC,Advantech ADAM-5000,http://www.advantech.com/products/modular-i-o-system-adam-5000-series/sub_1-368qr0,Advantech,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""SA"", ""tcpsig"": ""2920:64:0:44:M1460:.""}]"
xnih13@gmail.com,,,,,2009-02-17,AIX 5.2,Unix,AIX 5.2,http://www.ibm.com/aix,IBM Corp.,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:60:*:44:M1380:.""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""16384:60:1:44:M1380:.""}]"
xnih13@gmail.com,,,,Amazon,2020-12-23,Amazon Echo Show 5,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:64:1:60:M1460,S,T,N,W6:.""}]"
xnih13@gmail.com,,,www.amazon.com,Amazon,2020-12-23,Amazon Fire TV Stick,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""14600:64:1:60:M1460,S,T,N,W6:.""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""SA"", ""tcpsig"": ""14480:64:1:56:M1460,S,T:ZAT""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""SA"", ""tcpsig"": ""14480:64:1:60:M1460,N,N,T,N,W6:ZAT""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""SA"", ""tcpsig"": ""14480:64:1:60:M1460,S,T,N,W6:ZAT""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""SA"", ""tcpsig"": ""14600:64:1:44:M1460:ZA""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""SA"", ""tcpsig"": ""14600:64:1:52:M1460,N,N,S,N,W6:ZA""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:64:1:60:M1460,S,T,N,W6:.""}]"
xnih13@gmail.com,,Smartphone,,,2020-05-27,Android 10.x,Android,Android 10,http://www.android.com,Android,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:64:0:60:M1460,S,T,N,W9:.""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:64:1:60:M1460,N,W7,S,T:.""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:64:1:60:M1460,S,T,N,W8:.""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:64:1:60:M1460,S,T,N,W9:.""}]"
xnih13@gmail.com,,Smartphone,,,2020-05-27,Android 4.1.x,Android,Android 4.1,http://www.android.com,Android,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""13880:60:1:60:M1380,S,T,N,W4:.""}]"
xnih13@gmail.com,,Smartphone,,,2020-05-27,Android 5.1.x,Android,Android 5.1,http://www.android.com,Android,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:64:1:60:M1460,S,T,N,W8:.""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:64:1:60:M1460,S,T,N,W6:.""}]"
xnih13@gmail.com,,Smartphone,,,2020-05-27,Android 7.0.x,Android,Android 7.0,http://www.android.com,Android,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""tcpflag"": ""S"", ""tcpsig"": ""65535:64:1:60:M1460,S,T,N,W7:.""}]"
